date,year,month,quarter,day_of_week,is_weekend,is_holiday,covers,gross_revenue,cogs,gross_profit,labour_cost,fixed_ops_cost,operating_profit,gp_margin_pct
2015-01-01,2015,1,1,Thu,False,True,21,925.0,282.01,642.99,626.85,160.33,-144.19,69.5
2015-01-02,2015,1,1,Fri,False,False,19,716.0,237.08,478.92,626.85,160.87,-308.8,66.9
2015-01-03,2015,1,1,Sat,True,False,34,1315.5,407.74,907.76,671.85,174.28,61.63,69.0
2015-01-04,2015,1,1,Sun,True,False,33,1229.0,388.54,840.46,671.85,162.53,6.08,68.4
2015-01-05,2015,1,1,Mon,False,False,12,626.0,199.44,426.56,601.85,164.31,-339.6,68.1
2015-01-06,2015,1,1,Tue,False,False,12,697.5,221.2,476.3,601.85,151.58,-277.13,68.3
2015-01-07,2015,1,1,Wed,False,False,11,411.5,124.16,287.34,601.85,157.56,-472.07,69.8
2015-01-08,2015,1,1,Thu,False,False,15,458.5,134.28,324.22,626.85,157.17,-459.8,70.7
2015-01-09,2015,1,1,Fri,False,False,20,841.0,275.9,565.1,626.85,162.21,-223.96,67.2
2015-01-10,2015,1,1,Sat,True,False,30,1300.5,407.06,893.44,671.85,153.88,67.71,68.7
2015-01-11,2015,1,1,Sun,True,False,26,1176.0,377.17,798.83,646.85,160.25,-8.27,67.9
2015-01-12,2015,1,1,Mon,False,False,12,472.5,146.85,325.65,601.85,162.66,-438.86,68.9
2015-01-13,2015,1,1,Tue,False,False,13,625.5,212.55,412.95,601.85,152.07,-340.97,66.0
2015-01-14,2015,1,1,Wed,False,False,12,574.0,183.99,390.01,601.85,158.05,-369.89,67.9
2015-01-15,2015,1,1,Thu,False,False,13,526.5,172.43,354.07,601.85,159.67,-407.45,67.2
2015-01-16,2015,1,1,Fri,False,False,21,1124.5,361.34,763.16,626.85,162.13,-25.82,67.9
2015-01-17,2015,1,1,Sat,True,False,28,947.5,298.76,648.74,646.85,160.18,-158.29,68.5
2015-01-18,2015,1,1,Sun,True,False,32,1495.5,458.7,1036.8,671.85,170.71,194.24,69.3
2015-01-19,2015,1,1,Mon,False,False,13,540.5,178.09,362.41,601.85,152.59,-392.03,67.1
2015-01-20,2015,1,1,Tue,False,False,12,533.0,156.21,376.79,601.85,168.56,-393.62,70.7
2015-01-21,2015,1,1,Wed,False,False,13,672.5,217.23,455.27,601.85,163.15,-309.73,67.7
2015-01-22,2015,1,1,Thu,False,False,17,647.5,201.61,445.89,626.85,166.93,-347.89,68.9
2015-01-23,2015,1,1,Fri,False,False,15,613.0,193.75,419.25,626.85,155.98,-363.58,68.4
2015-01-24,2015,1,1,Sat,True,False,33,1558.0,495.3,1062.7,671.85,168.51,222.34,68.2
